master_camera_id,master_camera_label,master_camera_image_label,master_camera_timestamp,master_camera_sensor_id,master_camera_sensor_label,slave_camera_id,slave_camera_label,slave_camera_image_label,slave_camera_timestamp,slave_camera_sensor_id,slave_camera_sensor_label
53281,PR_20090612_232611_018_LC16,PR_20090612_232611_018_LC16,1244849171.204,51,auv_sirius_stereo_left,63962,PR_20090612_232611_018_RM16,PR_20090612_232611_018_RM16,1244849171.21,54,auv_sirius_stereo_right
53282,PR_20090613_001937_282_LC16,PR_20090613_001937_282_LC16,1244852377.452,51,auv_sirius_stereo_left,63963,PR_20090613_001937_282_RM16,PR_20090613_001937_282_RM16,1244852377.443,54,auv_sirius_stereo_right
53283,PR_20090613_003321_341_LC16,PR_20090613_003321_341_LC16,1244853201.518,51,auv_sirius_stereo_left,63964,PR_20090613_003321_341_RM16,PR_20090613_003321_341_RM16,1244853201.505,54,auv_sirius_stereo_right
53284,PR_20090612_235418_162_LC16,PR_20090612_235418_162_LC16,1244850858.271,51,auv_sirius_stereo_left,63965,PR_20090612_235418_162_RM16,PR_20090612_235418_162_RM16,1244850858.27,54,auv_sirius_stereo_right
53285,PR_20090612_231514_955_LC16,PR_20090612_231514_955_LC16,1244848515.171,51,auv_sirius_stereo_left,63966,PR_20090612_231514_955_RM16,PR_20090612_231514_955_RM16,1244848515.167,54,auv_sirius_stereo_right
53286,PR_20090612_234739_131_LC16,PR_20090612_234739_131_LC16,1244850459.388,51,auv_sirius_stereo_left,63967,PR_20090612_234739_131_RM16,PR_20090612_234739_131_RM16,1244850459.389,54,auv_sirius_stereo_right
53287,PR_20090613_002225_295_LC16,PR_20090613_002225_295_LC16,1244852545.386,51,auv_sirius_stereo_left,63968,PR_20090613_002225_295_RM16,PR_20090613_002225_295_RM16,1244852545.355,54,auv_sirius_stereo_right
53288,PR_20090612_230835_930_LC16,PR_20090612_230835_930_LC16,1244848116.089,51,auv_sirius_stereo_left,63969,PR_20090612_230835_930_RM16,PR_20090612_230835_930_RM16,1244848116.096,54,auv_sirius_stereo_right
53289,PR_20090612_232219_998_LC16,PR_20090612_232219_998_LC16,1244848940.053,51,auv_sirius_stereo_left,63970,PR_20090612_232219_998_RM16,PR_20090612_232219_998_RM16,1244848940.051,54,auv_sirius_stereo_right
53290,PR_20090612_234100_095_LC16,PR_20090612_234100_095_LC16,1244850060.202,51,auv_sirius_stereo_left,63971,PR_20090612_234100_095_RM16,PR_20090612_234100_095_RM16,1244850060.201,54,auv_sirius_stereo_right
53291,PR_20090612_235706_178_LC16,PR_20090612_235706_178_LC16,1244851026.384,51,auv_sirius_stereo_left,63972,PR_20090612_235706_178_RM16,PR_20090612_235706_178_RM16,1244851026.372,54,auv_sirius_stereo_right
53292,PR_20090613_001546_263_LC16,PR_20090613_001546_263_LC16,1244852146.342,51,auv_sirius_stereo_left,63973,PR_20090613_001546_263_RM16,PR_20090613_001546_263_RM16,1244852146.331,54,auv_sirius_stereo_right
53293,PR_20090612_230156_897_LC16,PR_20090612_230156_897_LC16,1244847717.065,51,auv_sirius_stereo_left,63974,PR_20090612_230156_897_RM16,PR_20090612_230156_897_RM16,1244847717.06,54,auv_sirius_stereo_right
53294,PR_20090612_235027_145_LC16,PR_20090612_235027_145_LC16,1244850627.265,51,auv_sirius_stereo_left,63975,PR_20090612_235027_145_RM16,PR_20090612_235027_145_RM16,1244850627.264,54,auv_sirius_stereo_right
53295,PR_20090613_002251_296_LC16,PR_20090613_002251_296_LC16,1244852571.462,51,auv_sirius_stereo_left,63976,PR_20090613_002251_296_RM16,PR_20090613_002251_296_RM16,1244852571.472,54,auv_sirius_stereo_right
53296,PR_20090613_004106_381_LC16,PR_20090613_004106_381_LC16,1244853666.622,51,auv_sirius_stereo_left,63977,PR_20090613_004106_381_RM16,PR_20090613_004106_381_RM16,1244853666.634,54,auv_sirius_stereo_right
53297,PR_20090612_234348_108_LC16,PR_20090612_234348_108_LC16,1244850228.182,51,auv_sirius_stereo_left,63978,PR_20090612_234348_108_RM16,PR_20090612_234348_108_RM16,1244850228.178,54,auv_sirius_stereo_right
53298,PR_20090612_232717_023_LC16,PR_20090612_232717_023_LC16,1244849237.249,51,auv_sirius_stereo_left,63979,PR_20090612_232717_023_RM16,PR_20090612_232717_023_RM16,1244849237.241,54,auv_sirius_stereo_right
53299,PR_20090613_000203_200_LC16,PR_20090613_000203_200_LC16,1244851323.345,51,auv_sirius_stereo_left,63980,PR_20090613_000203_200_RM16,PR_20090613_000203_200_RM16,1244851323.338,54,auv_sirius_stereo_right
53300,PR_20090613_003427_348_LC16,PR_20090613_003427_348_LC16,1244853267.609,51,auv_sirius_stereo_left,63981,PR_20090613_003427_348_RM16,PR_20090613_003427_348_RM16,1244853267.596,54,auv_sirius_stereo_right
53301,PR_20090612_230444_912_LC16,PR_20090612_230444_912_LC16,1244847885.136,51,auv_sirius_stereo_left,63982,PR_20090612_230444_912_RM16,PR_20090612_230444_912_RM16,1244847885.135,54,auv_sirius_stereo_right
53302,PR_20090612_232037_985_LC16,PR_20090612_232037_985_LC16,1244848838.108,51,auv_sirius_stereo_left,63983,PR_20090612_232037_985_RM16,PR_20090612_232037_985_RM16,1244848838.102,54,auv_sirius_stereo_right
53303,PR_20090612_235524_169_LC16,PR_20090612_235524_169_LC16,1244850924.208,51,auv_sirius_stereo_left,63984,PR_20090612_235524_169_RM16,PR_20090612_235524_169_RM16,1244850924.215,54,auv_sirius_stereo_right
53304,PR_20090613_002748_320_LC16,PR_20090613_002748_320_LC16,1244852868.544,51,auv_sirius_stereo_left,63985,PR_20090613_002748_320_RM16,PR_20090613_002748_320_RM16,1244852868.532,54,auv_sirius_stereo_right
53305,PR_20090612_231358_951_LC16,PR_20090612_231358_951_LC16,1244848439.098,51,auv_sirius_stereo_left,63986,PR_20090612_231358_951_RM16,PR_20090612_231358_951_RM16,1244848439.092,54,auv_sirius_stereo_right
53306,PR_20090612_233005_036_LC16,PR_20090612_233005_036_LC16,1244849405.271,51,auv_sirius_stereo_left,63987,PR_20090612_233005_036_RM16,PR_20090612_233005_036_RM16,1244849405.275,54,auv_sirius_stereo_right
53307,PR_20090612_234845_136_LC16,PR_20090612_234845_136_LC16,1244850525.354,51,auv_sirius_stereo_left,63988,PR_20090612_234845_136_RM16,PR_20090612_234845_136_RM16,1244850525.376,54,auv_sirius_stereo_right
53308,PR_20090613_000451_212_LC16,PR_20090613_000451_212_LC16,1244851491.428,51,auv_sirius_stereo_left,63989,PR_20090613_000451_212_RM16,PR_20090613_000451_212_RM16,1244851491.433,54,auv_sirius_stereo_right
53309,PR_20090613_003715_362_LC16,PR_20090613_003715_362_LC16,1244853435.58,51,auv_sirius_stereo_left,63990,PR_20090613_003715_362_RM16,PR_20090613_003715_362_RM16,1244853435.571,54,auv_sirius_stereo_right
53310,PR_20090612_232326_002_LC16,PR_20090612_232326_002_LC16,1244849006.104,51,auv_sirius_stereo_left,63991,PR_20090612_232326_002_RM16,PR_20090612_232326_002_RM16,1244849006.099,54,auv_sirius_stereo_right
53311,PR_20090612_235812_183_LC16,PR_20090612_235812_183_LC16,1244851092.352,51,auv_sirius_stereo_left,63992,PR_20090612_235812_183_RM16,PR_20090612_235812_183_RM16,1244851092.342,54,auv_sirius_stereo_right
53312,PR_20090613_003036_328_LC16,PR_20090613_003036_328_LC16,1244853036.378,51,auv_sirius_stereo_left,63993,PR_20090613_003036_328_RM16,PR_20090613_003036_328_RM16,1244853036.368,54,auv_sirius_stereo_right
53313,PR_20090613_001405_255_LC16,PR_20090613_001405_255_LC16,1244852045.327,51,auv_sirius_stereo_left,63994,PR_20090613_001405_255_RM16,PR_20090613_001405_255_RM16,1244852045.3,54,auv_sirius_stereo_right
53314,PR_20090612_231646_964_LC16,PR_20090612_231646_964_LC16,1244848607.009,51,auv_sirius_stereo_left,63995,PR_20090612_231646_964_RM16,PR_20090612_231646_964_RM16,1244848606.998,54,auv_sirius_stereo_right
53315,PR_20090612_235133_148_LC16,PR_20090612_235133_148_LC16,1244850693.186,51,auv_sirius_stereo_left,63996,PR_20090612_235133_148_RM16,PR_20090612_235133_148_RM16,1244850693.178,54,auv_sirius_stereo_right
53316,PR_20090613_002357_301_LC16,PR_20090613_002357_301_LC16,1244852637.493,51,auv_sirius_stereo_left,63997,PR_20090613_002357_301_RM16,PR_20090613_002357_301_RM16,1244852637.482,54,auv_sirius_stereo_right
53317,PR_20090612_231934_983_LC16,PR_20090612_231934_983_LC16,1244848775.151,51,auv_sirius_stereo_left,63998,PR_20090612_231934_983_RM16,PR_20090612_231934_983_RM16,1244848775.14,54,auv_sirius_stereo_right
53318,PR_20090612_230303_901_LC16,PR_20090612_230303_901_LC16,1244847784.099,51,auv_sirius_stereo_left,63999,PR_20090612_230303_901_RM16,PR_20090612_230303_901_RM16,1244847784.097,54,auv_sirius_stereo_right
53319,PR_20090612_235421_163_LC16,PR_20090612_235421_163_LC16,1244850861.351,51,auv_sirius_stereo_left,64000,PR_20090612_235421_163_RM16,PR_20090612_235421_163_RM16,1244850861.363,54,auv_sirius_stereo_right
53320,PR_20090613_002645_314_LC16,PR_20090613_002645_314_LC16,1244852805.4,51,auv_sirius_stereo_left,64001,PR_20090613_002645_314_RM16,PR_20090613_002645_314_RM16,1244852805.389,54,auv_sirius_stereo_right
53321,PR_20090613_001014_239_LC16,PR_20090613_001014_239_LC16,1244851814.43,51,auv_sirius_stereo_left,64002,PR_20090613_001014_239_RM16,PR_20090613_001014_239_RM16,1244851814.429,54,auv_sirius_stereo_right
53322,PR_20090613_004500_397_LC16,PR_20090613_004500_397_LC16,1244853900.529,51,auv_sirius_stereo_left,64003,PR_20090613_004500_397_RM16,PR_20090613_004500_397_RM16,1244853900.521,54,auv_sirius_stereo_right
53323,PR_20090612_231255_948_LC16,PR_20090612_231255_948_LC16,1244848376.103,51,auv_sirius_stereo_left,64004,PR_20090612_231255_948_RM16,PR_20090612_231255_948_RM16,1244848376.109,54,auv_sirius_stereo_right
53324,PR_20090612_234742_130_LC16,PR_20090612_234742_130_LC16,1244850462.218,51,auv_sirius_stereo_left,64005,PR_20090612_234742_130_RM16,PR_20090612_234742_130_RM16,1244850462.208,54,auv_sirius_stereo_right
53325,PR_20090612_233111_038_LC16,PR_20090612_233111_038_LC16,1244849471.11,51,auv_sirius_stereo_left,64006,PR_20090612_233111_038_RM16,PR_20090612_233111_038_RM16,1244849471.102,54,auv_sirius_stereo_right
53326,PR_20090613_000335_206_LC16,PR_20090613_000335_206_LC16,1244851415.453,51,auv_sirius_stereo_left,64007,PR_20090613_000335_206_RM16,PR_20090613_000335_206_RM16,1244851415.443,54,auv_sirius_stereo_right
53327,PR_20090613_003821_367_LC16,PR_20090613_003821_367_LC16,1244853501.435,51,auv_sirius_stereo_left,64008,PR_20090613_003821_367_RM16,PR_20090613_003821_367_RM16,1244853501.446,54,auv_sirius_stereo_right
