master_camera_id,master_camera_label,master_camera_image_label,master_camera_timestamp,master_camera_sensor_id,master_camera_sensor_label,slave_camera_id,slave_camera_label,slave_camera_image_label,slave_camera_timestamp,slave_camera_sensor_id,slave_camera_sensor_label
22335,PR_20130406_084448_926_LC16,PR_20130406_084448_926_LC16,1365237889.797,27,auv_sirius_stereo_left,32508,PR_20130406_084448_925_RM16,PR_20130406_084448_925_RM16,1365237889.812,31,auv_sirius_stereo_right
22336,PR_20130406_085848_865_LC16,PR_20130406_085848_865_LC16,1365238729.745,27,auv_sirius_stereo_left,32509,PR_20130406_085848_863_RM16,PR_20130406_085848_863_RM16,1365238729.76,31,auv_sirius_stereo_right
22337,PR_20130406_084217_937_LC16,PR_20130406_084217_937_LC16,1365237738.815,27,auv_sirius_stereo_left,32510,PR_20130406_084217_936_RM16,PR_20130406_084217_936_RM16,1365237738.832,31,auv_sirius_stereo_right
22338,PR_20130406_083753_956_LC16,PR_20130406_083753_956_LC16,1365237474.85,27,auv_sirius_stereo_left,32511,PR_20130406_083753_955_RM16,PR_20130406_083753_955_RM16,1365237474.834,31,auv_sirius_stereo_right
22339,PR_20130406_085633_875_LC16,PR_20130406_085633_875_LC16,1365238594.752,27,auv_sirius_stereo_left,32512,PR_20130406_085633_873_RM16,PR_20130406_085633_873_RM16,1365238594.77,31,auv_sirius_stereo_right
22340,PR_20130406_083809_955_LC16,PR_20130406_083809_955_LC16,1365237490.84,27,auv_sirius_stereo_left,32513,PR_20130406_083809_954_RM16,PR_20130406_083809_954_RM16,1365237490.825,31,auv_sirius_stereo_right
22341,PR_20130406_083345_974_LC16,PR_20130406_083345_974_LC16,1365237226.854,27,auv_sirius_stereo_left,32514,PR_20130406_083345_973_RM16,PR_20130406_083345_973_RM16,1365237226.842,31,auv_sirius_stereo_right
22342,PR_20130406_083538_966_LC16,PR_20130406_083538_966_LC16,1365237339.847,27,auv_sirius_stereo_left,32515,PR_20130406_083538_965_RM16,PR_20130406_083538_965_RM16,1365237339.827,31,auv_sirius_stereo_right
22343,PR_20130406_083114_985_LC16,PR_20130406_083114_985_LC16,1365237075.845,27,auv_sirius_stereo_left,32516,PR_20130406_083114_984_RM16,PR_20130406_083114_984_RM16,1365237075.859,31,auv_sirius_stereo_right
22344,PR_20130406_084736_914_LC16,PR_20130406_084736_914_LC16,1365238057.804,27,auv_sirius_stereo_left,32517,PR_20130406_084736_912_RM16,PR_20130406_084736_912_RM16,1365238057.794,31,auv_sirius_stereo_right
22345,PR_20130406_084505_925_LC16,PR_20130406_084505_925_LC16,1365237906.793,27,auv_sirius_stereo_left,32518,PR_20130406_084505_923_RM16,PR_20130406_084505_923_RM16,1365237906.814,31,auv_sirius_stereo_right
22346,PR_20130406_082436_014_LC16,PR_20130406_082436_014_LC16,1365236676.878,27,auv_sirius_stereo_left,32519,PR_20130406_082436_013_RM16,PR_20130406_082436_013_RM16,1365236676.886,31,auv_sirius_stereo_right
22347,PR_20130406_084521_923_LC16,PR_20130406_084521_923_LC16,1365237922.817,27,auv_sirius_stereo_left,32520,PR_20130406_084521_922_RM16,PR_20130406_084521_922_RM16,1365237922.784,31,auv_sirius_stereo_right
22348,PR_20130406_085905_864_LC16,PR_20130406_085905_864_LC16,1365238746.755,27,auv_sirius_stereo_left,32521,PR_20130406_085905_862_RM16,PR_20130406_085905_862_RM16,1365238746.739,31,auv_sirius_stereo_right
22349,PR_20130406_085921_862_LC16,PR_20130406_085921_862_LC16,1365238762.748,27,auv_sirius_stereo_left,32522,PR_20130406_085921_861_RM16,PR_20130406_085921_861_RM16,1365238762.764,31,auv_sirius_stereo_right
22350,PR_20130406_084057_943_LC16,PR_20130406_084057_943_LC16,1365237659.038,27,auv_sirius_stereo_left,32523,PR_20130406_084057_942_RM16,PR_20130406_084057_942_RM16,1365237658.824,31,auv_sirius_stereo_right
22351,PR_20130406_085650_873_LC16,PR_20130406_085650_873_LC16,1365238611.768,27,auv_sirius_stereo_left,32524,PR_20130406_085650_872_RM16,PR_20130406_085650_872_RM16,1365238611.749,31,auv_sirius_stereo_right
22352,PR_20130406_083842_952_LC16,PR_20130406_083842_952_LC16,1365237523.826,27,auv_sirius_stereo_left,32525,PR_20130406_083842_951_RM16,PR_20130406_083842_951_RM16,1365237523.839,31,auv_sirius_stereo_right
22353,PR_20130406_085226_893_LC16,PR_20130406_085226_893_LC16,1365238347.787,27,auv_sirius_stereo_left,32526,PR_20130406_085226_891_RM16,PR_20130406_085226_891_RM16,1365238347.77,31,auv_sirius_stereo_right
22354,PR_20130406_085011_902_LC16,PR_20130406_085011_902_LC16,1365238212.798,27,auv_sirius_stereo_left,32527,PR_20130406_085011_901_RM16,PR_20130406_085011_901_RM16,1365238212.79,31,auv_sirius_stereo_right
22355,PR_20130406_083133_983_LC16,PR_20130406_083133_983_LC16,1365237094.858,27,auv_sirius_stereo_left,32528,PR_20130406_083133_983_RM16,PR_20130406_083133_983_RM16,1365237094.871,31,auv_sirius_stereo_right
22356,PR_20130406_082724_002_LC16,PR_20130406_082724_002_LC16,1365236844.858,27,auv_sirius_stereo_left,32529,PR_20130406_082724_001_RM16,PR_20130406_082724_001_RM16,1365236844.873,31,auv_sirius_stereo_right
