master_camera_id,master_camera_label,master_camera_image_label,master_camera_timestamp,master_camera_sensor_id,master_camera_sensor_label,slave_camera_id,slave_camera_label,slave_camera_image_label,slave_camera_timestamp,slave_camera_sensor_id,slave_camera_sensor_label
1,PR_20100428_041955_924_LC16,PR_20100428_041955_924_LC16,1272428396.088,9,auv_sirius_stereo_left,8897,PR_20100428_041955_924_RM16,PR_20100428_041955_924_RM16,1272428396.103,13,auv_sirius_stereo_right
2,PR_20100428_042011_925_LC16,PR_20100428_042011_925_LC16,1272428412.141,9,auv_sirius_stereo_left,8898,PR_20100428_042011_925_RM16,PR_20100428_042011_925_RM16,1272428412.126,13,auv_sirius_stereo_right
3,PR_20100428_040147_819_LC16,PR_20100428_040147_819_LC16,1272427307.933,9,auv_sirius_stereo_left,8899,PR_20100428_040147_819_RM16,PR_20100428_040147_819_RM16,1272427307.917,13,auv_sirius_stereo_right
4,PR_20100428_041547_882_LC16,PR_20100428_041547_882_LC16,1272428148.114,9,auv_sirius_stereo_left,8900,PR_20100428_041547_882_RM16,PR_20100428_041547_882_RM16,1272428148.096,13,auv_sirius_stereo_right
5,PR_20100428_035916_811_LC16,PR_20100428_035916_811_LC16,1272427156.927,9,auv_sirius_stereo_left,8901,PR_20100428_035916_811_RM16,PR_20100428_035916_811_RM16,1272427156.911,13,auv_sirius_stereo_right
6,PR_20100428_035452_792_LC16,PR_20100428_035452_792_LC16,1272426892.905,9,auv_sirius_stereo_left,8902,PR_20100428_035452_792_RM16,PR_20100428_035452_792_RM16,1272426892.892,13,auv_sirius_stereo_right
7,PR_20100428_041332_902_LC16,PR_20100428_041332_902_LC16,1272428013.012,9,auv_sirius_stereo_left,8903,PR_20100428_041332_902_RM16,PR_20100428_041332_902_RM16,1272428013.026,13,auv_sirius_stereo_right
8,PR_20100428_035508_793_LC16,PR_20100428_035508_793_LC16,1272426908.933,9,auv_sirius_stereo_left,8904,PR_20100428_035508_793_RM16,PR_20100428_035508_793_RM16,1272426908.919,13,auv_sirius_stereo_right
9,PR_20100428_042938_963_LC16,PR_20100428_042938_963_LC16,1272428979.178,9,auv_sirius_stereo_left,8905,PR_20100428_042938_963_RM16,PR_20100428_042938_963_RM16,1272428979.109,13,auv_sirius_stereo_right
10,PR_20100428_042723_934_LC16,PR_20100428_042723_934_LC16,1272428844.014,9,auv_sirius_stereo_left,8906,PR_20100428_042723_934_RM16,PR_20100428_042723_934_RM16,1272428843.998,13,auv_sirius_stereo_right
